TUCASEID,GEMETSTA,GTMETSTA,PEEDUCA,PEHSPNON,PTDTRACE,TEAGE,TELFS,TEMJOT,TESCHENR,TESCHLVL,TESEX,TESPEMPNOT,TRCHILDNUM,TRDPFTPT,TRERNWA,TRHOLIDAY,TRSPFTPT,TRSPPRES,TRYHHCHILD,TUDIARYDAY,TUFNWGTP,TEHRUSLT,TUYEAR,TU20FWGT,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t18,t50,embed_x,embed_y,cluster
20191210191453,-1,3,40,1,3,21,1,2,1,2,2,1,0,2,35700,0,1,2,-1,4,48157429.582209,28,2019,48157429.582209,545,22,0,5,405,0,14,0,0,0,93,308,0,0,0,0,48,0,-1.6917552,-3.8041022,13
20191210191484,-1,1,39,2,2,69,5,-1,-1,-1,2,-1,0,-1,-1,0,-1,3,-1,1,5670627.562577,-1,2019,5670627.562577,526,115,0,18,0,0,0,0,0,0,50,494,0,172,0,0,65,0,5.2324734,5.0576663,11
20191210191531,-1,2,39,2,2,77,5,-1,-1,-1,2,-1,0,-1,-1,0,-1,3,-1,5,7101057.001118,-1,2019,7101057.001118,635,350,0,0,0,0,0,0,0,0,15,420,0,0,0,0,20,0,-3.6724558,12.680564,19
20191210191533,-1,1,42,1,1,22,1,2,1,2,2,-1,1,1,45000,0,-1,3,13,4,33762723.950333,35,2019,33762723.950333,90,0,0,0,0,930,0,0,0,0,90,210,0,0,0,0,105,15,-11.011699,2.062995,0
20191210191537,-1,1,40,2,4,65,5,-1,-1,-1,2,2,0,-1,-1,0,-1,1,-1,5,46497535.561691,-1,2019,46497535.561691,540,155,0,0,0,0,0,120,0,0,150,245,120,0,0,0,110,0,10.05373,8.8307085,8
20191210191560,-1,1,40,2,2,63,1,2,-1,-1,1,-1,0,1,150000,0,-1,3,-1,4,4592108.032083,40,2019,4592108.032083,455,0,0,0,475,0,0,0,0,0,115,190,0,105,0,0,100,0,4.84987,3.978941,-1
20191210191584,-1,1,39,1,1,66,5,-1,-1,-1,2,2,0,-1,-1,0,-1,1,-1,7,3116494.970345,-1,2019,3116494.970345,525,245,0,0,0,0,0,0,0,0,80,575,0,0,0,15,0,0,-2.5922527,12.659932,-1
20191210191586,-1,1,44,2,1,39,1,2,2,-1,2,1,3,1,92307,0,1,1,11,6,12356746.780429,40,2019,12356746.780429,465,90,42,0,415,0,45,0,0,0,60,165,0,0,0,0,113,45,-0.2108776,-4.10251,13
20191210191607,-1,1,40,2,1,37,1,2,2,-1,1,-1,0,1,163461,0,-1,3,-1,7,4184560.564216,45,2019,4184560.564216,503,160,0,2,0,0,125,0,0,0,150,364,0,0,0,0,136,0,-0.8809452,9.343803,15
20191210191610,-1,1,44,2,1,37,1,2,2,-1,1,2,3,1,288461,0,-1,1,0,2,11720126.797935,60,2019,11720126.797935,510,15,90,0,630,0,0,0,0,0,60,75,0,0,0,0,60,0,-1.3362024,-2.155589,3
20191210191613,-1,1,39,1,1,24,1,2,2,-1,1,1,0,1,50000,0,1,1,-1,5,26791846.706324,40,2019,26791846.706324,412,92,22,0,465,0,0,0,0,0,57,356,0,0,0,0,36,0,-0.85998404,-4.775902,-1
20191210191614,-1,1,44,2,1,37,1,2,2,-1,1,1,1,1,76153,0,1,1,5,4,7595890.008083,40,2019,7595890.008083,495,50,30,0,600,0,60,0,0,0,75,60,0,0,0,0,70,0,0.5096444,-3.1269958,13
20191210191629,-1,1,40,2,1,49,5,-1,2,-1,1,-1,0,-1,-1,0,-1,3,-1,1,3787410.226638,-1,2019,3787410.226638,840,90,0,0,0,0,0,0,0,0,150,360,0,0,0,0,0,0,-0.53809154,11.451692,23
20191210191635,-1,1,44,2,1,38,5,-1,2,-1,2,1,3,-1,-1,0,1,1,3,5,9028889.36463,-1,2019,9028889.36463,570,175,90,0,0,0,0,0,0,0,60,425,120,0,0,0,0,0,-3.7037878,7.7489004,14
20191210191647,-1,1,39,1,1,42,1,2,2,-1,1,2,3,1,56000,0,-1,1,8,3,35515877.7937,-4,2019,35515877.7937,455,0,90,0,510,0,30,0,0,0,60,180,0,0,0,20,95,0,-1.2834743,-2.114419,3
20191210191655,-1,1,42,1,2,32,1,2,2,-1,2,-1,3,1,58320,0,-1,3,7,2,7400375.959352,40,2019,7400375.959352,390,75,225,0,450,0,0,0,0,0,90,90,0,0,0,0,60,60,-1.471886,-1.0729495,3
20191210191666,-1,2,39,2,1,49,1,2,2,-1,1,1,0,1,226000,0,1,1,-1,3,68680443.290857,40,2019,68680443.290857,535,45,0,0,665,0,0,0,0,0,60,75,0,0,0,0,60,0,0.1568131,-3.7171412,13
20191210191684,-1,1,45,2,1,38,1,2,2,-1,2,1,2,1,288461,0,1,1,1,7,3334326.963696,50,2019,3334326.963696,570,290,95,0,0,0,65,0,0,0,200,60,30,0,0,0,70,60,-1.5290105,6.0971866,9
20191210191693,-1,1,42,2,2,57,2,2,-1,-1,2,-1,0,1,75000,0,-1,3,-1,7,2848749.786692,46,2019,2848749.786692,645,275,0,30,0,0,90,0,0,0,0,180,0,0,0,0,220,0,-0.2559769,8.511549,15
20191210191707,-1,1,43,2,4,35,1,2,2,-1,1,1,1,1,230700,0,1,1,4,1,3306120.400733,40,2019,3306120.400733,860,50,30,0,0,0,0,0,0,0,100,240,0,60,0,60,40,0,3.6947582,5.840148,11
20191210191708,-1,1,39,2,1,19,1,2,2,-1,1,-1,0,1,49000,0,-1,3,-1,3,56977017.230696,35,2019,56977017.230696,645,240,0,0,398,0,0,0,0,0,25,110,0,0,0,0,22,0,0.35190266,-3.4055781,13
20191210191720,-1,1,35,1,1,49,1,2,2,-1,2,-1,1,1,59000,0,-1,3,15,6,10549052.794125,40,2019,10549052.794125,915,355,0,0,0,0,0,0,0,0,60,90,0,0,0,0,20,0,2.6200073,10.905044,21
20191210191726,-1,1,43,2,1,59,1,2,-1,-1,2,-1,0,2,15000,0,-1,3,-1,2,9487136.076791,20,2019,9487136.076791,560,12,0,0,460,0,0,0,0,0,75,180,0,0,0,35,105,13,2.6785483,-2.344821,1
20191210191758,-1,1,33,1,1,63,1,2,-1,-1,1,2,1,1,68000,1,-1,1,8,4,32255071.983893,40,2019,32255071.983893,840,0,0,0,0,0,0,0,0,0,15,585,0,0,0,0,0,0,2.2272732,13.318777,22
20191210191790,-1,1,43,2,1,46,1,2,2,-1,1,1,3,1,288461,0,3,1,12,1,6004930.659665,45,2019,6004930.659665,704,150,65,0,30,0,110,0,0,0,55,190,0,0,0,0,91,45,-0.67505616,7.2717943,-1
20191210191809,-1,1,43,2,1,31,1,2,2,-1,1,-1,0,1,193800,0,-1,3,-1,4,19611860.105393,46,2019,19611860.105393,360,0,0,0,575,0,0,0,0,0,50,75,285,0,0,0,95,0,0.70711565,-0.9264167,12
20191210191818,-1,1,43,2,1,39,1,2,2,-1,2,1,2,1,115384,0,1,1,4,4,8635670.59532,40,2019,8635670.59532,545,65,167,0,354,0,0,0,0,0,55,60,0,0,0,0,40,154,-1.5333086,-1.1969899,3
